title,description,short_description,start_date,end_date,start_time,end_time,location_type,location_id,location_name,address,image_url,gallery,category,tags,website,ticket_url,organizer,contact_email,contact_phone,is_featured,price_info,latitude,longitude,id,created_date,updated_date,created_by,is_sample
"Festival de Gastronomia","O maior festival gastronômico de Santa Catarina. Venha experimentar o melhor da culinária catarinense, com pratos típicos, frutos do mar frescos e deliciosas sobremesas. O evento contará com mais de 30 restaurantes participantes, shows musicais ao vivo, oficinas culinárias e atividades para toda a família.","Experimente o melhor da culinária catarinense","2025-01-10","2025-01-12","11:00","23:00","city","1","Florianópolis","Praça Central - Beira Mar Norte","https://images.unsplash.com/photo-1555939594-58d7cb561ad1?w=600&auto=format&fit=crop&q=80","[]","gastronômico","[]","https://www.festivalsc.com.br","https://www.ingressosc.com.br/festival","Prefeitura de Florianópolis","contato@festivalsc.com.br","(48) 3333-4444","true","R$ 20,00 (entrada) + consumação","null","null","67d396882b43ac2a461d298c","2025-03-14T02:38:00.536000","2025-03-14T02:38:00.536000","contato.jrsn@gmail.com","false"
"Campeonato de Surf","Competição de surf com os melhores surfistas do Brasil. Categorias amador e profissional, com premiação total de R$ 50.000,00. Venha assistir às manobras radicais e torcer pelos atletas catarinenses.","Competição com os melhores surfistas do Brasil","2025-02-15","2025-02-17","08:00","17:00","beach","2","Praia de Jurerê","Jurerê Internacional","https://images.unsplash.com/photo-1502680390469-be75c86b636f?w=600&auto=format&fit=crop&q=80","[]","esportivo","[]","https://www.surfsc.com.br","","Federação Catarinense de Surf","info@surfsc.com.br","(48) 99888-7777","true","Entrada gratuita","null","null","67d396882b43ac2a461d298d","2025-03-14T02:38:00.536000","2025-03-14T02:38:00.536000","contato.jrsn@gmail.com","false"
"Festival de Música Eletrônica","Uma noite inteira de música eletrônica com os melhores DJs nacionais e internacionais. Pista de dança, área VIP, bar e muito mais.","A melhor festa eletrônica do litoral","2025-01-25","2025-01-26","22:00","06:00","business","3","P12 Beach Club","Praia de Jurerê Internacional","https://images.unsplash.com/photo-1516450360452-9312f5e86fc7?w=600&auto=format&fit=crop&q=80","[]","musical","[]","https://www.p12.com.br/evento","https://www.ingressosc.com.br/p12-festival","P12 Eventos","eventos@p12.com.br","(48) 3030-1212","false","R$ 80,00 a R$ 300,00","null","null","67d396882b43ac2a461d298e","2025-03-14T02:38:00.536000","2025-03-14T02:38:00.536000","contato.jrsn@gmail.com","false"
"Feira de Artesanato Local","Exposição e venda de artesanato produzido por artistas locais. Peças únicas em cerâmica, madeira, tecido e muito mais.","Peças únicas produzidas por artistas catarinenses","2025-01-05","2025-01-05","09:00","18:00","city","2","Balneário Camboriú","Praça Almirante Tamandaré","https://images.unsplash.com/photo-1513519245088-0e12902e5a38?w=600&auto=format&fit=crop&q=80","[]","feira","[]","","","Associação de Artesãos","artesanatosc@gmail.com","(47) 99777-8888","false","Entrada gratuita","null","null","67d396882b43ac2a461d298f","2025-03-14T02:38:00.536000","2025-03-14T02:38:00.536000","contato.jrsn@gmail.com","false"
"Réveillon na Praia","Celebre a virada do ano com os pés na areia. Show de fogos, música ao vivo, DJs e muita diversão.","A maior festa de virada do ano","2024-12-31","2025-01-01","22:00","06:00","beach","1","Praia Central","Av. Atlântica - Balneário Camboriú","https://images.unsplash.com/photo-1530073266986-df9492d5354e?w=600&auto=format&fit=crop&q=80","[]","festivo","[]","https://www.reveillonbc.com.br","https://www.reveillonbc.com.br/ingressos","Prefeitura de Balneário Camboriú","reveillon@bc.sc.gov.br","(47) 3333-7777","true","Entrada gratuita (área geral) | R$ 300,00 (área VIP)","null","null","67d396882b43ac2a461d2990","2025-03-14T02:38:00.536000","2025-03-14T02:38:00.536000","contato.jrsn@gmail.com","false"
"Festival de Verão Floripa","O Festival de Verão Floripa é um dos maiores eventos de música ao vivo de Santa Catarina. Durante três dias, as praias de Jurerê Internacional serão palco para diversos shows nacionais e internacionais, com música eletrônica, pop, rock e MPB. Além dos shows, o festival conta com área gastronômica, espaço para arte e cultura local, e diversas atividades de entretenimento para todas as idades.","Três dias de música ao vivo nas praias de Jurerê Internacional com artistas nacionais e internacionais.","2025-01-15","2025-01-17","16:00","02:00","beach","null","Jurerê Internacional","Praia de Jurerê Internacional, Florianópolis, SC","https://images.unsplash.com/photo-1470229722913-7c0e2dbbafd3?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=1170&q=80","[]","musical","[""""música"""",""""verão"""",""""festival"""",""""shows""""]","https://www.festivaldeveraofloripa.com.br","https://www.festivaldeveraofloripa.com.br/ingressos","Floripa Eventos","contato@festivaldeveraofloripa.com.br","(48) 99999-9999","true","R$ 120 - R$ 350","null","null","67d3994b2b43ac2a461d30ba","2025-03-14T02:49:47.339000","2025-03-14T02:49:47.339000","contato.jrsn@gmail.com","false"
"Feira Gastronômica Balneário Camboriú","A Feira Gastronômica de Balneário Camboriú reúne os melhores chefs e restaurantes da região, oferecendo aos visitantes uma experiência gastronômica única. Durante o evento, você poderá experimentar pratos típicos da culinária catarinense, além de opções nacionais e internacionais. Haverá também workshops, demonstrações culinárias ao vivo, e concursos de gastronomia. Traga toda a família para este evento imperdível!","Um festival gastronômico com os melhores chefs e restaurantes de Santa Catarina.","2025-02-10","2025-02-16","11:00","22:00","city","null","Balneário Camboriú","Avenida Atlântica, Centro, Balneário Camboriú, SC","https://images.unsplash.com/photo-1555939594-58d7cb561ad1?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=1074&q=80","[]","gastronômico","[""""gastronomia"""",""""culinária"""",""""feira"""",""""comida""""]","https://www.feiragastrobc.com.br","","Associação Gastronômica BC","contato@feiragastrobc.com.br","(47) 98888-8888","true","Entrada gratuita","null","null","67d3994b2b43ac2a461d30bb","2025-03-14T02:49:47.339000","2025-03-14T02:49:47.339000","contato.jrsn@gmail.com","false"
"Campeonato Catarinense de Surf","O Campeonato Catarinense de Surf reúne os melhores surfistas do estado em uma competição eletrizante nas famosas ondas da Praia da Joaquina. Durante os quatro dias de evento, os atletas competirão em diversas categorias, incluindo profissional, amador, longboard e feminino. Além da competição, o evento contará com área de alimentação, estandes de marcas de surf, e música ao vivo. Venha assistir e torcer pelos talentos do surf catarinense!","A maior competição de surf de Santa Catarina reunindo os melhores surfistas do estado.","2025-03-05","2025-03-08","07:00","18:00","beach","null","Praia da Joaquina","Praia da Joaquina, Florianópolis, SC","https://images.unsplash.com/photo-1502680390469-be75c86b636f?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=1170&q=80","[]","esportivo","[""""surf"""",""""esporte"""",""""praia"""",""""competição""""]","https://www.surfcatarinense.com.br","","Federação Catarinense de Surf","contato@surfcatarinense.com.br","(48) 97777-7777","false","Entrada gratuita para espectadores","null","null","67d3994b2b43ac2a461d30bc","2025-03-14T02:49:47.339000","2025-03-14T02:49:47.339000","contato.jrsn@gmail.com","false"
"Festival Cultural de Bombinhas","O Festival Cultural de Bombinhas é uma celebração das tradições, arte e cultura açoriana presente em Santa Catarina. Durante uma semana, o evento oferece apresentações de dança, música folclórica, teatro de rua, exposições de artesanato local, e oficinas culturais para todas as idades. Conheça mais sobre a rica herança cultural da região em um ambiente descontraído e familiar. O festival também conta com uma feira de produtos típicos locais e apresentações de grupos folclóricos.","Uma imersão na cultura e tradições açorianas com apresentações, arte e gastronomia típica.","2025-04-10","2025-04-16","10:00","22:00","city","null","Bombinhas","Praça Central, Centro, Bombinhas, SC","https://images.unsplash.com/photo-1533174072545-7a4b6ad7a6c3?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=1170&q=80","[]","cultural","[""""cultura"""",""""tradição"""",""""arte"""",""""açoriano""""]","https://www.festivalbombinhas.com.br","","Secretaria de Cultura de Bombinhas","cultura@bombinhas.sc.gov.br","(47) 96666-6666","false","Entrada gratuita","null","null","67d3994b2b43ac2a461d30bd","2025-03-14T02:49:47.339000","2025-03-14T02:49:47.339000","contato.jrsn@gmail.com","false"
"Réveillon em Balneário Camboriú","Venha celebrar a virada do ano em um dos melhores Réveillons do Brasil! A festa na Praia Central de Balneário Camboriú conta com shows de artistas nacionais, queima de fogos sincronizada com música, e uma energia incrível para começar o ano novo. A festa acontece na orla da praia, com diversos palcos e atrações para todos os gostos, desde MPB até música eletrônica. Não perca esta oportunidade de celebrar o ano novo em grande estilo!","A maior festa de Réveillon de Santa Catarina com shows e fogos na Praia Central.","2025-12-31","2025-12-31","20:00","06:00","beach","null","Praia Central","Avenida Atlântica, Praia Central, Balneário Camboriú, SC","https://images.unsplash.com/photo-1467810563316-b5476525c0f9?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=1169&q=80","[]","festivo","[""""réveillon"""",""""ano novo"""",""""festa"""",""""fogos""""]","https://www.reveillonbc.com.br","","Prefeitura de Balneário Camboriú","eventos@bc.sc.gov.br","(47) 95555-5555","true","Entrada gratuita","null","null","67d3994b2b43ac2a461d30be","2025-03-14T02:49:47.339000","2025-03-14T02:49:47.339000","contato.jrsn@gmail.com","false"
