name,description,price,period,features,discount_percentage,image_url,badge_color,is_featured,is_active,position,id,created_date,updated_date,created_by,is_sample
"Premium","O mais popular! Tudo que você precisa para uma experiência completa","49.9","mensal","[""""Acesso a informações de todas as praias"""",""""Desconto de 15% em comércios parceiros"""",""""Acesso exclusivo a eventos locais"""",""""Alertas de condições do mar"""",""""Suporte 24/7""""]","15","null","#EAB308","true","false","2","67d0937ed7fb96d657129e15","2025-03-11T19:48:14.975000","2025-03-11T19:55:08.885000","contato.jrsn@gmail.com","false"
"Elite","A melhor experiência para aproveitar o litoral catarinense","399.9","anual","[""""Acesso a informações de todas as praias"""",""""Desconto de 25% em comércios parceiros"""",""""Acesso VIP a eventos exclusivos"""",""""Alertas personalizados"""",""""Concierge turístico"""",""""Guias locais personalizados"""",""""Suporte prioritário 24/7""""]","25","null","#16A34A","false","true","3","67d0937ed7fb96d657129e16","2025-03-11T19:48:14.975000","2025-03-11T19:48:14.975000","contato.jrsn@gmail.com","false"
"Básico","Plano ideal para quem está visitando Santa Catarina pela primeira vez","19.9","mensal","[""""Acesso a informações de todas as praias"""",""""Desconto de 5% em comércios parceiros"""",""""Suporte por email""""]","5","null","#3B82F6","false","true","1","67d0937ed7fb96d657129e14","2025-03-11T19:48:14.975000","2025-03-11T19:48:14.975000","contato.jrsn@gmail.com","false"
"Premium","Nossa melhor opção com grandes descontos e benefícios exclusivos","59.9","mensal","[""""Descontos de até 25% em comércios parceiros"""",""""Acesso à comunidade VIP"""",""""Conteúdo exclusivo sobre praias"""",""""Convites para eventos especiais"""",""""Atendimento prioritário""""]","25","https://images.unsplash.com/photo-1517686568444-4c950ebd77ed?auto=format&fit=crop&q=80&w=200&h=200","#8b5cf6","true","true","2","67d0bb37d5f4a4b6f0be9a41","2025-03-11T22:37:43.343000","2025-03-11T22:37:43.343000","contato.jrsn@gmail.com","false"
"Família","Perfeito para famílias que viajam juntas com benefícios para todos","89.9","mensal","[""""Descontos de até 20% em comércios parceiros"""",""""Até 4 membros na mesma assinatura"""",""""Cartão digital compartilhável"""",""""Acesso à comunidade de turistas"""",""""Dicas de atividades para famílias""""]","20","https://images.unsplash.com/photo-1529156069898-49953e39b3ac?auto=format&fit=crop&q=80&w=200&h=200","#10b981","false","true","3","67d0bb37d5f4a4b6f0be9a42","2025-03-11T22:37:43.343000","2025-03-11T22:37:43.343000","contato.jrsn@gmail.com","false"
"Básico","Acesso a descontos básicos em estabelecimentos parceiros","29.9","mensal","[""""Descontos de até 10% em comércios parceiros"""",""""Acesso à comunidade de turistas"""",""""Dicas e guias de praias""""]","10","https://images.unsplash.com/photo-1577717903315-1691ae25ab3f?auto=format&fit=crop&q=80&w=200&h=200","#3b82f6","false","true","1","67d0bb37d5f4a4b6f0be9a40","2025-03-11T22:37:43.343000","2025-03-11T22:37:43.343000","contato.jrsn@gmail.com","false"
"Turista Prata","Descontos exclusivos de 05% á 10% de Descontos em comércios parceiros","54.9","semestral","[""""Descontos para crianças"""",""""Roteiros familiares personalizados"""",""""Guia de atividades infantis"""",""""10% de desconto em todos os parceiros"""",""""Descontos em Restaurantes"""",""""Descontos em Locação de imóveis""""]","10","https://images.unsplash.com/photo-1519046904884-53103b34b206?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=800&q=80","#4CAF50","false","true","1","67d3f810ad08a1fb5b8bbc1b","2025-03-14T09:34:08.962000","2025-05-08T18:09:13.741000","contato.jrsn@gmail.com","false"
"Turistando Premium","Descontos exclusivos de 05% á 15% de Descontos em comércios parceiros","110","anual","[""""Acesso prioritário a eventos"""",""""Desconto em todos estabelecimentos parceiros"""",""""Alertas de condições do mar"""",""""Clube de benefícios exclusivos"""",""""Atendimento VIP"""",""""Descontos em Locação de imóveis"""",""""Descontos em Restaurantes""""]","15","https://images.unsplash.com/photo-1506929562872-bb421503ef21?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=800&q=80","#FF5722","true","true","0","67d3f810ad08a1fb5b8bbc1a","2025-03-14T09:34:08.962000","2025-05-08T18:08:28.326000","contato.jrsn@gmail.com","false"
"Prestador Start","Participa também de Descontos exclusivos de 05% á 10% de Descontos em comércios parceiros","54.9","semestral","[]","1","","#007BFF","true","true","1","680599c54890db578ff62e74","2025-04-21T01:05:09.914000","2025-05-08T18:13:22.743000","contato.jrsn@gmail.com","false"
"Prestador Select","Participa também de Descontos exclusivos de 05% á 10% de Descontos em comércios parceiros","110","anual","[]","10","","#007BFF","true","true","2","68059a1c4890db578ff62ff1","2025-04-21T01:06:36.646000","2025-05-08T18:14:14.901000","contato.jrsn@gmail.com","false"
